test_case,total_annotations,translated,failed,verification_status
s0001_two_sum,7,5,8,output_generated
s0007_reverse_integer,6,4,9,output_generated
s0008_string_to_integer_atoi,8,1,24,output_generated
s0020_valid_parentheses,8,2,21,output_generated
s0026_remove_duplicates_from_sorted_array,6,4,9,output_generated
s0028_find_the_index_of_the_first_occurrence_in_a_string,6,5,6,output_generated
s0032_longest_valid_parentheses,6,4,9,output_generated
s0033_search_in_rotated_sorted_array,7,4,11,output_generated
s0035_search_insert_position,10,4,21,output_generated
s0044_wildcard_matching,5,1,15,output_generated
s0045_jump_game_ii,5,4,6,output_generated
s0053_maximum_subarray,6,4,9,output_generated
s0055_jump_game,4,3,6,output_generated
s0058_length_of_last_word,7,2,18,output_generated
s0065_valid_number,7,1,21,output_generated
s0066_plus_one,6,3,11,output_generated
s0067_add_binary,7,3,15,output_generated
s0072_edit_distance,6,3,12,output_generated
s0091_decode_ways,7,3,15,output_generated
s0128_longest_consecutive_sequence,5,3,9,output_generated
s0134_gas_station,5,1,15,output_generated
s0152_maximum_product_subarray,5,4,6,output_generated
s0164_maximum_gap,5,3,9,output_generated
s0168_excel_sheet_column_title,6,3,12,output_generated
s0171_excel_sheet_column_number,6,3,12,output_generated
s0191_number_of_1_bits,5,4,6,output_generated
s0198_house_robber,5,4,6,output_generated
s0202_happy_number,5,4,6,output_generated
s0217_contains_duplicate,4,5,0
0,output_generated
s0219_contains_duplicate_ii,5,4,6,output_generated
s0228_summary_ranges,7,4,12,output_generated
s0229_majority_element_ii,7,4,12,output_generated
s0231_power_of_two,3,2,6,output_generated
s0233_number_of_digit_one,4,5,0
0,output_generated
s0238_product_of_array_except_self,7,3,14,output_generated
s0258_add_digits,4,5,0
0,output_generated
s0263_ugly_number,4,2,9,output_generated
s0292_nim_game,6,5,6,output_generated
s0309_best_time_to_buy_and_sell_stock_with_cooldown,5,4,6,output_generated
s0326_power_of_three,3,2,6,output_generated
s0331_verify_preorder_serialization_of_a_binary_tree,6,2,15,output_generated
s0342_power_of_four,3,2,6,output_generated
s0357_count_numbers_with_unique_digits,4,4,3,output_generated
s0367_valid_perfect_square,4,4,3,output_generated
s0392_is_subsequence,5,5,2,output_generated
s0393_utf_8_validation,6,3,12,output_generated
s0396_rotate_function,5,4,6,output_generated
s0412_fizz_buzz,6,2,14,output_generated
s0455_assign_cookies,7,6,6,output_generated
s0462_minimum_moves_to_equal_array_elements_ii,5,4,6,output_generated
s0496_next_greater_element_i,8,5,11,output_generated
s0504_base_7,4,2,9,output_generated
s0521_longest_uncommon_subsequence_i,6,4,9,output_generated
s0532_k_diff_pairs_in_an_array,8,5,12,output_generated
s0551_student_attendance_record_i,4,2,9,output_generated
s0560_subarray_sum_equals_k,6,4,9,output_generated
s0561_array_partition_i,6,4,9,output_generated
s0628_maximum_product_of_three_numbers,6,3,12,output_generated
s0860_lemonade_change,6,3,12,output_generated
s0888_fair_candy_swap,7,7,3,output_generated
s0908_smallest_range_i,7,4,12,output_generated
s0925_long_pressed_name,7,3,14,output_generated
s0941_valid_mountain_array,7,3,15,output_generated
s0942_di_string_match,7,2,16,output_generated
s0961_n_repeated_element_in_size_2n_array,7,3,15,output_generated
s0989_add_to_array_form_of_integer,6,5,6,output_generated
s1013_partition_array_into_three_parts_with_equal_sum,6,3,12,output_generated
