test_case,verification_status,error_count
s0001_two_sum,failed,1
s0007_reverse_integer,failed,1
s0008_string_to_integer_atoi,failed,2
s0020_valid_parentheses,failed,1
s0026_remove_duplicates_from_sorted_array,failed,1
s0028_find_the_index_of_the_first_occurrence_in_a_string,failed,1
s0032_longest_valid_parentheses,failed,1
s0033_search_in_rotated_sorted_array,failed,1
s0035_search_insert_position,failed,1
s0044_wildcard_matching,failed,2
s0045_jump_game_ii,failed,1
s0053_maximum_subarray,failed,1
s0055_jump_game,failed,1
s0058_length_of_last_word,failed,1
s0065_valid_number,failed,2
s0066_plus_one,failed,1
s0067_add_binary,failed,1
s0072_edit_distance,failed,1
s0091_decode_ways,failed,1
s0128_longest_consecutive_sequence,failed,1
s0134_gas_station,failed,3
s0152_maximum_product_subarray,failed,1
s0164_maximum_gap,failed,1
s0168_excel_sheet_column_title,failed,1
s0171_excel_sheet_column_number,failed,1
s0191_number_of_1_bits,failed,1
s0198_house_robber,failed,1
s0202_happy_number,failed,1
s0217_contains_duplicate,failed,1
s0219_contains_duplicate_ii,failed,1
s0228_summary_ranges,failed,1
s0229_majority_element_ii,failed,1
s0231_power_of_two,failed,1
s0233_number_of_digit_one,failed,1
s0238_product_of_array_except_self,failed,1
s0258_add_digits,failed,1
s0263_ugly_number,failed,1
s0292_nim_game,failed,1
s0309_best_time_to_buy_and_sell_stock_with_cooldown,failed,1
s0326_power_of_three,failed,1
s0331_verify_preorder_serialization_of_a_binary_tree,failed,1
s0342_power_of_four,failed,1
s0357_count_numbers_with_unique_digits,failed,1
s0367_valid_perfect_square,failed,1
s0392_is_subsequence,failed,1
s0393_utf_8_validation,failed,1
s0396_rotate_function,failed,1
s0412_fizz_buzz,failed,1
s0455_assign_cookies,failed,1
s0462_minimum_moves_to_equal_array_elements_ii,failed,1
s0496_next_greater_element_i,failed,1
s0504_base_7,failed,1
s0521_longest_uncommon_subsequence_i,failed,1
s0532_k_diff_pairs_in_an_array,failed,1
s0551_student_attendance_record_i,failed,1
s0560_subarray_sum_equals_k,failed,1
s0561_array_partition_i,failed,1
s0628_maximum_product_of_three_numbers,failed,1
s0860_lemonade_change,failed,1
s0888_fair_candy_swap,failed,1
s0908_smallest_range_i,failed,1
s0925_long_pressed_name,failed,1
s0941_valid_mountain_array,failed,1
s0942_di_string_match,failed,1
s0961_n_repeated_element_in_size_2n_array,failed,1
s0989_add_to_array_form_of_integer,failed,1
s1013_partition_array_into_three_parts_with_equal_sum,failed,1
